Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
26-12-2011,631.55,630.1,639.9,630.1,630.6,633.35,633.92,872
27-12-2011,633.35,635,640,625,640,639.75,637.6,20638
28-12-2011,639.75,630.1,650,612,615,612.75,621.72,15733
29-12-2011,612.75,610,617.65,606,610,611,612.76,2744
30-12-2011,611,560,626,560,613,606.15,604.08,8311
02-01-2012,606.15,607,612,595.4,603,603.4,601.03,4318
03-01-2012,603.4,593,614.95,593,612.1,612.95,612.46,3300
04-01-2012,612.95,625,625,604.65,605.1,605.3,610.8,3182
05-01-2012,605.3,601.55,613.65,601.55,606.3,607.05,608.19,1222
06-01-2012,607.05,602.1,617.3,585.1,589.9,590,596.03,12227
07-01-2012,590,601.7,609,595.65,602,601.2,600.68,9813
09-01-2012,601.2,600,613.75,600,609,610.05,606.04,4879
10-01-2012,610.05,619.85,632,610.5,632,627.25,623.19,3466
11-01-2012,627.25,629,665,629,650,651.4,651.11,30892
12-01-2012,651.4,650,668.9,645.1,657.8,649.55,654.86,6876
13-01-2012,649.55,652,653,642.15,647.9,647.1,649.14,46755
16-01-2012,647.1,640,663.95,640,646.8,649.9,650.14,20599
17-01-2012,649.9,641,653,641,650,650.05,649.81,24942
18-01-2012,650.05,664,694,652,683.8,677.25,677.36,257578
19-01-2012,677.25,682,684.95,665.7,679.5,681.05,674.42,63077
20-01-2012,681.05,680,687,680,684.1,684.8,684.6,13542
23-01-2012,684.8,688,695,680,694.8,693.8,689.51,22458
24-01-2012,693.8,697.45,733.7,692.15,720.05,720.85,718.45,58564
25-01-2012,720.85,725,736,723,732,730.05,727.05,17775
27-01-2012,730.05,736,739,720,720,726.9,729.91,11933
30-01-2012,726.9,738.5,738.5,710.05,720.25,722.1,717.42,17054
31-01-2012,722.1,728.75,759,718,750.8,750.65,741.82,32159
01-02-2012,750.65,751,790.6,745.1,772,777.4,773.76,82782
02-02-2012,777.4,785.2,785.2,750.1,775,773.8,767.07,25674
03-02-2012,773.8,775,802,765,780.2,791.95,788.64,43334
06-02-2012,791.95,796.9,813.8,783.1,789.9,787.4,800.92,50946
07-02-2012,787.4,789,795,776.1,785.05,790.2,788.79,24843
08-02-2012,790.2,793,829,790,825,822.6,813.31,43254
09-02-2012,822.6,801,843.9,801,820,822,827.15,37798
10-02-2012,822,822.1,835,810,812,811.7,820.05,8731
13-02-2012,811.7,810,819.85,801.25,806.95,804.3,804.97,12464
14-02-2012,804.3,809.9,810,796,800,797.95,803.21,10965
15-02-2012,797.95,807.5,810,789,789,795.1,799.49,36908
16-02-2012,795.1,802.5,802.5,783.05,785,785.5,792.49,8785
17-02-2012,785.5,800,814.95,788.65,805.15,806.25,802.43,52771
21-02-2012,806.25,801,835,801,825,818.75,818.65,24544
22-02-2012,818.75,829.7,835,789.55,804.5,802.8,807.71,32474
23-02-2012,802.8,795,807.95,775.6,781.3,784.05,790.54,17080
24-02-2012,784.05,795,801.95,791.5,800,799.5,798.36,14799
27-02-2012,799.5,804.95,804.95,749.6,761,761.5,766.2,15998
28-02-2012,761.5,763,780,763,769.95,773.95,774.79,9502
29-02-2012,773.95,779.95,803.9,779.95,793.8,790.5,792.14,32900
01-03-2012,790.5,797,797.8,765.3,772,773.25,780,5861
02-03-2012,773.25,772.8,788.7,772.8,783.8,781.65,775.31,107402
03-03-2012,781.65,780.05,783.8,776.8,776.8,778.3,780.47,500
05-03-2012,778.3,778.1,785,761.05,766,762.3,767.3,2915
06-03-2012,762.3,779,794.85,755,765,767.25,774.86,21586
07-03-2012,767.25,767.5,780,755,769.95,770.05,769.83,24143
09-03-2012,770.05,787,804,772.1,802,794.4,790.54,18232
12-03-2012,794.4,805,805,776,803.7,802.2,798.36,8804
13-03-2012,802.2,800,810.8,800,807.8,808.65,809.1,17639
14-03-2012,808.65,815,819.95,793.3,810.65,819.05,812.18,20255
15-03-2012,819.05,819.5,819.5,777,794,789.6,796.29,4156
16-03-2012,789.6,800,800,767.85,784.9,780.7,790.95,4643
19-03-2012,780.7,775,798.9,775,785,786.4,782.42,4044
20-03-2012,786.4,780,801,780,796.9,791.15,788.01,2013
21-03-2012,791.15,797,819,796.65,812.05,813.05,807.25,11130
22-03-2012,813.05,813,825,802.55,815,815.05,816,30383
23-03-2012,815.05,824.95,824.95,795,815,814.35,808.52,4256
26-03-2012,814.35,824.85,824.9,806.8,806.8,810.05,815.69,4637
27-03-2012,810.05,815,815,795.55,805.75,804.8,804.97,8243
28-03-2012,804.8,806.25,811,790.65,792.2,799.75,800.61,41591
29-03-2012,799.75,809,809,785,800,795.7,788.36,73131
30-03-2012,795.7,785.05,817,785.05,815.8,814.35,812.75,6886
02-04-2012,814.35,816,845.9,808,841.65,834.7,826.61,12512
03-04-2012,834.7,850,867.65,840,865,864.1,856.54,19388
04-04-2012,864.1,856,878.5,856,876.95,875.25,870.69,15588
09-04-2012,875.25,880,880,845.3,870,865.55,861.66,6414
10-04-2012,865.55,870,874,850.5,870,868,868.45,4993
11-04-2012,868,853,872,843,844,845.15,858.74,3841
12-04-2012,845.15,835.5,871.7,835.5,865.75,867.35,858.12,14924
13-04-2012,867.35,874.9,882,865.05,876.05,878.15,875.3,31108
16-04-2012,878.15,856.9,890,856.9,884,883.05,879.31,18075
17-04-2012,883.05,885,899,874.1,888.85,884.75,883.82,27464
18-04-2012,884.75,890,894,880.05,894,889.3,888.61,15633
19-04-2012,889.3,882.6,901.95,882.6,894.95,892.3,894.34,9872
20-04-2012,892.3,872,900,872,894.1,892.1,891.87,7089
23-04-2012,892.1,889,902.95,865.7,865.7,869.1,887.77,28225
24-04-2012,869.1,883.35,883.5,845.5,850,848.95,855.58,16364
25-04-2012,848.95,850.1,858.8,827,849.95,849.5,845.6,8300
26-04-2012,849.5,841.4,855,840.05,845,841.25,848.76,8243
27-04-2012,841.25,842,874.95,840,862,863.25,862.27,16385
28-04-2012,863.25,846.25,866.85,846.25,856.05,861,861.35,103
30-04-2012,861,860,880.15,860,871,873.8,872.34,3013
02-05-2012,873.8,857.5,915.75,857.5,889.15,889.55,898.4,20866
03-05-2012,889.55,892,892,867.5,872,874.65,882.34,53548
04-05-2012,874.65,860,875,838,838.1,845.85,854.18,17153
07-05-2012,845.85,821,907.5,821,905,893.8,861.6,20865
08-05-2012,893.8,888.2,907,872,879,879,885.8,8400
09-05-2012,879,861.7,887.7,840,852.5,855.85,860.16,9054
10-05-2012,855.85,842.7,872.9,842.7,850,858,866.59,5128
11-05-2012,858,840,867.7,840,862,859.15,854.05,3153
14-05-2012,859.15,843.05,876.7,839.95,846.2,852.55,854.36,4047
15-05-2012,852.55,839.7,883,839.7,881,876.1,876.39,23600
16-05-2012,876.1,858,901.4,836.3,847,850.3,870.08,76161
17-05-2012,850.3,852,885,831,865.1,860.25,858.88,33931
18-05-2012,860.25,849.7,882,835,867.05,869.85,862.82,15199
21-05-2012,869.85,878.85,878.95,851.15,862,859.45,860.43,6947
22-05-2012,859.45,856,867,850,865,861.4,857.35,5414
23-05-2012,861.4,851,865,845,847.1,847.8,850.51,5672
24-05-2012,847.8,832,860,832,852,851.6,847.52,15077
